index,model,Adherence to Instructions_score,Believable Character Actions_score,Nuanced Characters_score,Consistent Voice / Tone of Writing_score,Imagery and Descriptive Quality_score,Elegant Prose_score,Emotionally Engaging_score,Emotionally Complex_score,Coherent_score,Well-earned Lightness or Darkness_score,Sentences Flow Naturally_score,Overall Reader Engagement_score,Overall Impression_score,Meandering_score,Weak Dialogue_score,Tell-Don't-Show_score,Unsurprising or Uncreative_score,Amateurish_score,Purple Prose_score,Overwrought_score,Incongruent Ending Positivity_score,Unearned Transformations_score
0,deepseek-ai/DeepSeek-R1-0528,20.0,17.5,18.0,19.0,19.5,18.5,18.0,19.0,19.5,19.0,19.0,19.5,19.0,2.0,3.0,2.5,3.5,1.0,2.0,2.5,1.0,1.5
1,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,19.5,19.0,18.0,19.5,20.0,19.5,18.5,19.0,20.0,19.5,2.0,3.0,2.5,1.5,1.0,3.5,2.0,1.0,3.0
2,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,19.5,19.0,18.0,19.0,18.5,19.5,19.0,18.5,19.5,19.5,1.0,2.5,1.5,3.0,0.5,2.0,1.0,1.0,2.0
3,deepseek-ai/DeepSeek-R1-0528,20.0,17.5,18.0,19.0,19.5,18.5,18.0,19.0,19.5,19.0,19.0,19.5,19.0,2.0,3.0,2.5,3.5,1.0,2.0,1.5,1.0,1.0
4,deepseek-ai/DeepSeek-R1-0528,20.0,17.5,18.0,19.0,19.5,17.0,19.0,18.5,19.5,18.0,18.5,19.0,19.0,2.0,3.0,2.5,3.5,1.0,2.0,2.5,1.0,3.0
5,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,19.5,19.0,18.0,17.5,18.5,19.5,19.0,18.5,19.0,19.5,2.0,1.5,3.0,2.5,1.0,1.5,1.0,1.0,1.0
6,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,18.0,17.5,16.5,18.0,19.5,19.0,18.5,18.0,19.0,19.5,2.0,3.0,4.0,3.5,1.0,2.5,2.0,1.0,3.0
7,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,19.5,20.0,18.0,19.0,19.5,19.5,19.0,18.5,20.0,19.5,1.0,2.5,1.5,2.0,0.5,1.0,1.5,0.5,1.0
8,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,19.5,19.0,17.5,18.0,19.5,19.0,18.5,18.0,19.5,19.0,2.0,3.0,4.0,3.5,1.0,2.5,3.0,1.0,2.0
9,deepseek-ai/DeepSeek-R1-0528,20.0,17.5,16.0,19.0,19.5,18.5,18.0,17.0,19.0,19.5,18.5,19.0,19.5,2.0,3.5,2.5,3.0,1.0,2.0,3.0,1.0,2.0
