index,model,Adherence to Instructions_score,Believable Character Actions_score,Nuanced Characters_score,Consistent Voice / Tone of Writing_score,Imagery and Descriptive Quality_score,Elegant Prose_score,Emotionally Engaging_score,Emotionally Complex_score,Coherent_score,Well-earned Lightness or Darkness_score,Sentences Flow Naturally_score,Overall Reader Engagement_score,Overall Impression_score,Meandering_score,Weak Dialogue_score,Tell-Don't-Show_score,Unsurprising or Uncreative_score,Amateurish_score,Purple Prose_score,Overwrought_score,Incongruent Ending Positivity_score,Unearned Transformations_score
0,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,19.0,17.5,16.0,15.5,14.0,19.5,12.0,18.0,16.5,16.0,3.5,4.0,5.0,6.5,2.0,4.5,5.5,0.0,8.0
1,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,17.5,18.0,16.0,19.5,19.0,19.5,17.0,18.0,19.5,18.5,3.0,4.0,5.5,6.0,4.5,5.0,6.5,3.0,7.0
2,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,16.0,17.5,16.5,14.0,15.5,13.0,19.0,14.5,17.0,16.5,15.5,3.0,4.0,5.5,6.0,4.5,3.5,4.0,5.0,7.0
3,deepseek-ai/DeepSeek-R1-0528,19.0,17.5,16.0,18.5,17.0,14.5,16.5,13.0,19.0,15.0,18.0,17.5,16.5,2.5,3.0,4.5,5.0,2.0,3.5,4.0,0.0,1.5
4,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,14.5,17.0,16.5,13.0,15.5,14.0,19.0,12.5,17.5,16.0,15.5,5.0,8.0,7.5,9.0,6.5,8.5,9.0,4.0,7.0
5,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.0,18.5,17.5,14.0,13.5,12.0,18.0,15.0,16.5,16.0,16.5,8.0,6.0,7.0,5.0,4.0,5.5,4.5,3.0,4.0
6,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,16.0,14.5,13.5,15.0,16.0,19.0,15.5,17.5,16.5,16.0,4.0,3.5,5.0,6.0,2.0,3.0,4.0,3.0,5.5
7,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,17.0,19.0,18.0,16.5,17.5,16.0,19.5,14.0,18.0,17.5,17.0,3.0,4.0,5.0,6.0,2.0,4.5,5.0,0.0,2.0
8,deepseek-ai/DeepSeek-R1-0528,20.0,16.5,14.0,18.0,15.5,13.0,17.0,15.0,19.0,16.0,18.5,18.0,17.5,5.0,4.0,6.0,7.0,3.0,5.5,6.0,4.5,5.0
9,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,16.0,19.0,18.0,17.5,17.0,14.0,19.5,15.0,18.5,17.5,17.0,3.0,2.0,4.5,5.0,2.5,4.0,3.5,0.0,4.0
10,deepseek-ai/DeepSeek-R1-0528,18.0,14.5,12.0,16.5,17.5,15.0,13.5,14.0,19.0,11.0,17.0,15.5,14.5,12.0,8.0,10.0,9.0,6.0,13.0,14.0,5.0,10.5
11,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,17.0,19.0,18.0,16.5,17.5,16.0,19.5,14.0,18.0,17.5,17.0,3.0,4.5,5.0,6.0,2.0,5.5,4.0,0.0,3.5
12,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,14.5,15.0,13.0,12.5,19.0,15.5,17.5,16.0,16.5,8.0,5.5,7.0,6.5,4.0,6.0,5.5,4.5,5.0
13,deepseek-ai/DeepSeek-R1-0528,19.0,17.5,16.0,18.0,17.0,14.5,15.0,13.5,19.0,12.0,18.5,17.5,16.5,3.0,4.0,5.0,6.0,4.5,5.5,6.0,2.0,3.5
14,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,14.5,18.0,16.0,12.5,15.5,13.0,18.5,10.0,17.5,16.5,15.0,6.5,4.0,8.0,9.0,7.5,3.5,5.0,0.0,10.0
15,deepseek-ai/DeepSeek-R1-0528,20.0,17.5,16.0,18.5,19.0,17.0,17.0,16.5,19.5,18.0,18.0,18.5,17.5,3.0,4.5,5.0,4.0,2.0,6.5,5.5,2.0,3.5
16,deepseek-ai/DeepSeek-R1-0528,20.0,16.5,14.0,17.5,18.0,15.5,17.0,13.0,19.0,16.0,17.0,18.5,17.5,5.0,6.5,7.0,8.0,4.0,5.5,6.0,0.0,5.0
17,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,17.0,19.0,16.5,14.0,16.0,15.5,18.0,17.5,18.0,17.0,17.5,3.0,4.0,5.0,6.0,2.0,8.0,7.0,1.0,3.0
18,deepseek-ai/DeepSeek-R1-0528,19.0,17.5,16.0,18.0,18.5,16.5,15.5,14.5,19.5,18.0,17.5,17.0,16.5,2.5,3.0,4.0,5.0,2.0,4.5,3.5,0.0,3.0
19,deepseek-ai/DeepSeek-R1-0528,20.0,19.5,18.0,19.0,17.5,16.0,18.5,17.0,20.0,19.0,18.5,18.0,18.5,4.0,3.0,5.0,6.0,2.0,4.0,3.5,4.0,5.0
20,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,17.0,19.0,15.5,14.0,13.5,16.5,18.0,12.0,17.5,17.0,16.5,5.0,6.0,7.5,8.0,4.0,6.5,7.0,5.5,6.0
21,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,14.5,17.0,15.0,13.0,16.5,15.0,18.0,12.0,16.0,17.5,16.5,5.5,4.0,6.0,5.0,4.5,3.0,4.0,1.0,1.0
22,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,18.5,14.0,12.0,19.0,19.5,17.5,13.0,16.0,19.0,18.5,5.0,8.0,10.0,6.0,4.0,5.5,7.0,3.0,6.5
23,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,18.5,19.0,17.0,15.0,14.5,19.5,12.0,18.0,16.5,17.0,3.0,1.0,4.0,5.0,2.0,4.5,5.0,1.0,3.5
24,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,17.0,19.0,18.0,16.5,17.5,16.0,20.0,15.0,18.5,18.0,17.5,3.0,4.0,5.0,4.5,3.5,4.0,5.5,0.0,2.0
25,deepseek-ai/DeepSeek-R1-0528,20.0,17.5,18.0,19.5,16.0,14.0,17.0,18.5,19.0,16.5,18.5,18.0,18.5,3.0,4.0,5.0,4.5,2.0,6.0,5.5,1.0,2.5
26,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,19.0,17.5,16.5,14.0,15.0,17.0,19.5,13.0,18.0,16.5,17.0,3.0,2.5,4.0,5.0,2.0,6.0,5.5,1.0,2.0
27,deepseek-ai/DeepSeek-R1-0528,19.0,17.5,16.0,18.5,14.5,12.0,15.0,13.5,18.0,16.5,17.0,17.5,16.5,3.5,4.0,5.0,4.5,2.0,6.0,7.5,0.0,1.5
28,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,14.0,17.5,15.0,13.5,16.5,15.5,14.5,12.0,16.0,17.0,16.5,8.5,6.0,9.0,10.0,4.0,5.5,7.0,3.0,8.5
29,deepseek-ai/DeepSeek-R1-0528,20.0,14.5,8.0,16.0,13.0,12.0,9.0,7.0,19.0,10.0,15.0,12.5,11.5,5.0,4.5,6.0,8.0,3.0,2.0,3.5,0.0,4.0
30,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,17.5,16.0,15.5,14.5,13.0,19.0,12.5,16.0,15.0,15.5,3.5,4.0,5.5,6.0,3.0,4.5,4.0,2.0,5.5
31,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,17.0,19.0,18.0,16.5,16.0,17.5,19.5,14.0,18.0,17.5,17.0,3.0,4.5,6.0,5.0,3.5,4.0,5.5,2.0,3.0
32,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,14.0,17.0,15.5,13.5,12.0,10.0,19.0,14.5,16.0,13.5,14.0,4.0,5.5,8.0,6.0,4.5,7.0,6.5,1.0,3.0
33,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,17.0,16.5,14.0,15.5,15.0,18.5,13.0,16.0,16.5,15.5,2.0,3.0,4.0,3.5,2.5,3.0,3.5,1.0,2.0
34,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,16.0,14.5,15.0,13.0,18.5,12.0,17.5,16.0,15.5,3.5,4.0,5.0,6.0,4.5,5.5,6.5,7.0,8.0
35,deepseek-ai/DeepSeek-R1-0528,20.0,17.5,16.0,18.0,17.0,14.5,16.5,15.0,19.0,17.0,18.5,17.5,17.0,3.0,4.0,5.5,6.0,3.5,4.5,5.0,0.0,3.0
36,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,17.0,19.0,18.0,16.5,17.5,16.0,19.5,17.0,18.5,18.0,17.5,3.0,4.5,5.0,6.0,4.0,3.5,4.0,5.0,7.0
37,deepseek-ai/DeepSeek-R1-0528,20.0,18.5,17.0,20.0,19.0,16.0,18.0,17.5,19.5,18.5,18.0,19.5,19.0,3.0,4.0,5.0,2.0,2.0,4.5,3.5,1.0,1.5
38,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,17.5,16.0,15.0,16.0,15.5,19.0,14.0,17.0,16.5,16.0,3.0,4.5,5.0,6.0,2.5,3.5,4.0,2.0,3.5
