index,model,Adherence to Instructions_score,Believable Character Actions_score,Nuanced Characters_score,Consistent Voice / Tone of Writing_score,Imagery and Descriptive Quality_score,Elegant Prose_score,Emotionally Engaging_score,Emotionally Complex_score,Coherent_score,Well-earned Lightness or Darkness_score,Sentences Flow Naturally_score,Overall Reader Engagement_score,Overall Impression_score,Meandering_score,Weak Dialogue_score,Tell-Don't-Show_score,Unsurprising or Uncreative_score,Amateurish_score,Purple Prose_score,Overwrought_score,Incongruent Ending Positivity_score,Unearned Transformations_score
0,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,17.0,18.0,19.0,17.0,18.0,16.0,19.0,18.0,18.0,19.0,18.0,3.0,2.0,3.0,4.0,2.0,5.0,4.0,1.0,1.0
1,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,18.0,17.0,18.0,16.0,18.0,18.0,19.0,17.0,17.0,18.0,18.0,3.0,4.0,5.0,4.0,3.0,6.0,5.0,2.0,3.0
2,deepseek-ai/DeepSeek-R1-0528,19.0,17.0,16.0,18.0,18.0,16.0,17.0,15.0,18.0,16.0,17.0,18.0,17.0,4.0,3.0,4.0,5.0,3.0,6.0,5.0,2.0,6.0
3,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,17.0,18.0,18.0,17.0,18.0,16.0,19.0,17.0,18.0,18.0,18.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,1.0,1.0
4,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,17.0,18.0,18.0,16.0,18.0,17.0,18.0,17.0,17.0,18.0,18.0,3.0,4.0,3.0,5.0,3.0,6.0,5.0,2.0,2.0
5,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,17.0,18.0,17.0,17.0,16.0,16.0,18.0,17.0,17.0,18.0,18.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0
6,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,18.0,18.0,17.0,17.0,18.0,17.0,19.0,17.0,17.0,18.0,18.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0
7,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,17.0,18.0,18.0,16.0,17.0,16.0,19.0,17.0,17.0,18.0,18.0,3.0,4.0,3.0,5.0,3.0,6.0,5.0,1.0,1.0
8,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,17.0,18.0,17.0,16.0,17.0,16.0,18.0,17.0,17.0,18.0,18.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0
9,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,17.0,18.0,19.0,17.0,18.0,16.0,19.0,18.0,17.0,18.0,18.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0
10,deepseek-ai/DeepSeek-R1-0528,19.0,18.0,18.0,19.0,19.0,18.0,19.0,19.0,19.0,18.0,18.0,19.0,19.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0
11,deepseek-ai/DeepSeek-R1-0528,16.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,19.0,18.0,18.0,19.0,18.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0
