index,model,Adherence to Instructions_score,Believable Character Actions_score,Nuanced Characters_score,Consistent Voice / Tone of Writing_score,Imagery and Descriptive Quality_score,Elegant Prose_score,Emotionally Engaging_score,Emotionally Complex_score,Coherent_score,Well-earned Lightness or Darkness_score,Sentences Flow Naturally_score,Overall Reader Engagement_score,Overall Impression_score,Meandering_score,Weak Dialogue_score,Tell-Don't-Show_score,Unsurprising or Uncreative_score,Amateurish_score,Purple Prose_score,Overwrought_score,Incongruent Ending Positivity_score,Unearned Transformations_score
0,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,19.0,14.0,18.0,15.0,13.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.0,18.5,17.0,18.0,19.5,17.0,15.0,16.5,18.0,18.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
2,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,16.5,19.0,15.0,18.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,12.0
3,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,17.0,18.0,17.0,16.5,15.0,17.0,18.0,17.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,17.0,14.0,16.0,16.5,15.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
5,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,15.0,14.0,16.0,13.0,15.5,14.5,15.0,3.0,2.5,1.0,1.5,2.0,1.0,1.5,1.0,1.0
6,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.0,18.5,17.0,18.0,19.5,19.0,15.0,17.0,18.5,18.0,2.0,10.0,8.0,12.0,14.0,16.0,13.0,11.0,10.0
7,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,15.0,14.0,19.0,18.0,16.5,15.5,16.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.5,14.0,17.0,16.0,15.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,15.5,19.0,14.0,16.5,17.0,16.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
10,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,19.0,19.5,15.0,18.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
11,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,19.0,14.0,18.5,17.0,16.0,15.0,13.0,14.0,13.5,6.0,8.0,7.0,5.0,4.0,3.0,2.0,10.0,9.0
12,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,14.0,13.0,16.5,15.0,18.0,12.0,16.0,17.0,15.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
13,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.5,14.0,17.0,16.0,15.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
14,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,14.0,17.0,15.5,13.0,15.0,18.0,16.0,12.0,14.0,13.0,14.5,3.0,10.0,8.0,12.0,15.0,11.0,13.0,16.0,17.0
15,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,17.0,18.0,17.0,18.0,16.0,17.0,18.0,17.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
16,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,17.0,16.5,15.0,15.5,17.0,16.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
17,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.0,18.5,17.0,18.0,19.5,17.0,15.0,16.5,18.0,18.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
18,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,17.0,19.0,16.0,18.0,17.5,17.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
19,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,15.5,14.0,18.5,17.0,19.0,16.0,15.0,17.0,16.5,3.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0,14.0
20,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,14.0,13.5,12.0,11.0,10.0,9.0,10.0,8.0,7.5,15.0,14.0,13.0,12.0,11.0,10.0,9.0,16.0,15.0
