index,model,Adherence to Instructions_score,Believable Character Actions_score,Nuanced Characters_score,Consistent Voice / Tone of Writing_score,Imagery and Descriptive Quality_score,Elegant Prose_score,Emotionally Engaging_score,Emotionally Complex_score,Coherent_score,Well-earned Lightness or Darkness_score,Sentences Flow Naturally_score,Overall Reader Engagement_score,Overall Impression_score,Meandering_score,Weak Dialogue_score,Tell-Don't-Show_score,Unsurprising or Uncreative_score,Amateurish_score,Purple Prose_score,Overwrought_score,Incongruent Ending Positivity_score,Unearned Transformations_score
0,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,17.0,17.5,16.0,19.0,16.5,18.0,18.5,18.5,2.0,1.5,2.5,3.0,2.5,1.0,1.5,1.0,1.0
1,deepseek-ai/DeepSeek-R1-0528,19.5,18.5,17.5,18.0,19.0,17.0,19.5,19.0,18.5,17.5,18.5,19.0,19.5,2.0,1.5,2.5,3.0,2.0,2.5,3.5,1.0,1.5
2,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,18.5,17.5,19.0,18.0,18.5,19.5,19.0,2.0,3.0,2.5,3.5,2.0,1.0,1.5,1.0,2.5
3,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,16.0,18.5,17.0,19.0,17.5,18.0,18.5,18.5,2.0,3.0,2.5,3.5,2.5,1.0,2.0,1.0,1.5
4,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,17.5,18.5,15.0,18.5,17.0,18.0,16.0,17.0,18.5,18.0,3.0,12.0,10.0,14.0,13.0,5.0,4.0,2.0,3.0
5,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,18.0,15.0,16.0,17.5,18.5,17.5,17.0,17.5,18.0,3.0,12.0,10.0,11.0,13.0,5.0,4.0,1.0,2.0
6,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,17.5,16.0,15.0,17.5,16.0,18.5,15.5,17.0,18.0,17.5,2.0,3.0,2.5,4.0,3.5,2.5,2.0,1.0,1.5
7,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,18.0,17.5,17.5,17.0,18.5,16.0,18.0,17.5,18.5,2.0,1.5,3.0,3.5,2.5,3.0,2.0,1.0,1.5
8,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,17.0,16.0,18.5,17.5,19.0,16.5,18.0,18.5,18.5,2.0,1.0,3.0,3.5,2.5,1.5,2.0,1.0,1.0
9,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,15.5,18.5,19.0,16.0,18.0,17.5,18.5,17.5,18.0,18.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,3.0,1.0,1.5
10,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,18.5,17.0,19.0,19.5,19.0,17.5,18.0,19.5,19.0,1.0,1.5,2.0,2.5,1.0,2.0,3.0,1.0,1.0
11,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,16.0,19.5,18.5,18.5,17.0,18.0,19.0,19.5,3.0,12.0,10.0,14.0,13.0,10.5,11.0,1.0,2.0
12,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,18.0,16.0,15.5,17.5,16.0,18.5,17.0,17.5,17.5,18.0,2.0,1.5,3.0,4.0,3.0,2.5,2.0,1.0,1.5
13,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,17.5,18.5,16.0,17.0,15.5,18.5,15.0,17.0,18.0,18.5,2.0,1.5,3.0,4.0,2.5,2.0,1.0,1.5,1.0
14,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,15.0,17.5,18.5,15.5,18.0,17.0,18.5,16.0,17.0,18.5,18.0,3.0,10.0,5.0,12.0,10.0,5.0,10.0,2.0,14.0
15,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,18.5,17.5,18.0,17.5,19.0,17.0,18.5,18.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,3.0,1.0,1.5
16,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,15.0,18.5,18.0,16.0,17.5,16.5,18.5,17.0,17.5,18.0,18.5,3.0,10.0,5.0,4.0,5.0,3.5,5.5,1.0,2.0
17,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,19.0,17.5,18.0,17.5,18.5,18.0,18.0,18.5,19.0,2.0,3.0,2.5,4.0,2.0,5.0,3.0,1.0,1.5
18,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,16.0,18.5,17.0,19.5,17.5,18.0,18.5,18.5,2.0,1.5,2.5,3.0,2.0,3.5,2.5,1.0,1.5
19,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,15.0,16.0,15.5,19.0,14.0,17.0,17.5,18.5,2.0,12.0,10.0,13.0,14.5,5.0,4.0,1.0,1.5
20,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,15.0,14.0,17.5,18.5,18.5,16.0,17.5,17.0,17.5,3.0,12.0,10.0,13.0,11.0,5.0,6.0,2.0,3.0
21,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,18.0,17.5,15.0,18.5,19.0,18.0,15.5,16.0,17.5,18.5,3.0,10.0,12.0,14.0,13.0,5.0,15.0,2.0,1.0
22,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.5,17.0,16.0,15.0,18.5,19.0,17.5,16.0,16.5,18.0,17.5,3.0,12.0,10.0,13.0,14.0,5.0,10.0,3.0,5.0
23,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,16.0,18.5,17.0,19.5,16.5,18.0,18.5,18.5,2.0,1.0,2.5,3.0,2.0,3.5,4.0,1.0,1.5
24,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,18.0,17.5,15.0,18.5,18.0,18.5,16.0,17.5,18.0,18.5,3.0,12.0,5.0,10.0,11.0,5.0,8.0,2.0,1.0
25,deepseek-ai/DeepSeek-R1-0528,19.5,16.0,17.5,18.5,18.0,17.0,16.5,18.5,18.0,17.5,17.5,17.0,18.5,2.0,1.5,3.0,4.0,3.0,5.0,4.5,1.0,2.5
26,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,18.5,18.0,19.5,17.5,18.0,18.5,19.0,2.0,3.0,2.5,3.5,2.0,4.0,3.0,1.0,1.5
27,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,17.5,15.0,18.5,17.5,19.0,16.0,18.5,18.0,18.5,2.0,1.5,3.0,4.0,2.5,3.5,3.0,1.0,1.5
28,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,17.0,16.0,18.5,19.0,18.5,17.5,18.0,18.5,18.5,2.0,1.0,1.5,3.0,2.5,1.0,1.5,1.0,2.0
29,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,15.0,18.5,18.0,16.0,14.5,16.5,19.0,17.5,18.5,17.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,3.0,1.0,1.5
30,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,18.5,17.5,16.0,17.5,18.5,15.0,17.0,17.5,18.0,2.0,1.5,3.0,4.0,2.5,3.5,2.0,1.0,1.5
31,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,16.0,17.0,18.5,19.0,17.5,18.0,18.5,18.5,2.0,1.5,3.0,4.0,3.0,2.5,2.0,1.0,1.5
32,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,18.0,17.5,17.5,16.0,19.0,16.5,18.5,18.0,18.5,2.0,1.5,3.0,3.5,2.5,2.0,1.0,1.0,1.5
33,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,19.5,18.5,19.0,17.5,18.0,19.0,19.5,2.0,1.5,2.5,3.0,2.5,1.0,1.5,1.0,1.0
34,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,18.5,17.0,19.0,18.5,18.5,17.5,18.0,19.5,19.0,2.0,3.0,2.5,4.0,2.0,2.5,3.0,1.0,1.5
35,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,17.5,18.0,15.0,17.5,16.0,18.5,16.5,17.0,18.0,17.5,2.0,1.5,3.0,4.0,3.0,2.5,3.5,1.0,1.5
36,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,18.5,16.0,17.5,17.0,18.5,17.5,18.0,18.0,18.5,3.0,1.5,4.0,4.5,3.5,2.0,2.5,1.0,1.5
37,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,15.5,18.5,18.0,16.0,17.5,16.5,18.5,17.0,17.5,17.5,18.0,3.0,12.0,10.0,11.0,13.0,4.0,5.0,2.0,3.0
38,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,17.0,16.0,17.5,16.5,19.0,16.0,18.0,18.5,18.5,2.0,3.0,2.5,4.0,3.0,2.0,2.5,1.0,1.5
39,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,18.0,16.0,17.5,17.0,18.5,17.5,17.5,18.0,18.5,2.0,1.5,3.0,3.5,2.5,3.0,2.0,1.0,1.5
40,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,18.5,16.0,18.5,17.0,19.0,17.5,18.0,18.5,18.5,2.0,3.0,2.5,4.0,2.0,3.5,3.0,1.0,1.5
41,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,15.5,18.5,19.0,16.0,18.0,17.5,18.5,17.5,18.0,18.5,19.0,2.0,1.5,3.0,4.0,2.5,3.5,5.0,1.0,2.0
42,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,17.5,18.0,16.0,18.5,19.0,18.5,17.5,17.0,18.0,18.5,2.0,1.5,3.0,4.0,3.0,2.5,3.5,1.0,1.0
43,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,18.5,18.0,19.5,17.5,18.0,18.5,19.0,2.0,1.5,2.5,1.0,1.5,3.0,2.5,1.0,1.0
44,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,17.0,16.0,15.5,19.0,15.0,18.0,17.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,2.0,1.0,1.5
45,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,17.5,18.5,16.0,18.5,17.0,19.0,17.5,18.0,18.5,18.5,2.0,3.0,2.5,4.0,3.5,2.5,1.0,1.5,2.0
46,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,17.5,16.0,18.5,19.0,18.5,17.5,17.0,18.0,18.5,2.0,12.0,10.0,13.0,14.0,5.0,10.0,1.0,15.0
47,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.5,18.5,19.5,17.0,18.5,18.0,18.5,17.5,18.0,18.5,18.5,2.0,1.5,3.0,3.5,2.5,2.0,3.0,1.0,1.5
48,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,18.5,16.0,18.5,18.0,18.5,17.5,17.5,18.0,18.5,2.0,1.5,3.0,4.0,2.5,3.5,4.5,1.0,1.5
49,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,17.0,16.0,15.0,16.5,19.0,17.5,18.0,17.5,18.5,2.0,3.0,2.5,4.0,2.0,2.5,1.0,1.5,1.0
50,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,19.0,16.0,17.5,18.5,19.5,17.0,18.0,18.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,2.0,1.0,1.5
51,deepseek-ai/DeepSeek-R1-0528,19.5,18.5,17.0,18.0,17.5,16.0,18.5,17.5,19.0,16.5,17.0,18.0,18.5,2.0,1.5,3.0,4.0,3.0,2.5,3.5,1.0,1.5
52,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,15.0,14.0,18.5,17.5,18.5,16.0,17.5,18.0,18.5,2.0,1.5,3.0,4.0,3.0,2.5,1.0,1.0,2.0
53,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,17.0,16.5,14.0,18.5,19.0,18.5,15.0,16.0,18.0,17.5,3.0,12.0,10.0,13.0,14.5,5.0,10.0,15.0,2.0
54,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,17.5,15.0,18.0,19.0,18.5,17.5,17.0,18.5,18.0,3.0,12.0,10.0,10.5,13.0,5.0,10.0,1.0,2.0
55,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,16.0,17.0,16.5,19.0,15.0,18.0,18.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,3.0,1.0,1.5
56,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,15.0,17.0,18.5,19.0,16.0,17.5,18.0,18.5,2.0,1.5,3.0,1.0,2.5,3.5,4.0,1.0,2.0
57,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,17.5,16.0,15.0,17.5,18.0,18.5,17.0,16.5,18.0,2.0,1.5,3.0,4.0,3.0,2.5,3.5,1.0,2.0
58,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,18.0,19.0,17.5,18.5,18.0,18.5,17.5,18.0,18.5,18.5,2.0,1.5,2.5,3.0,2.0,3.5,2.5,1.0,1.5
59,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,17.5,16.0,15.5,16.0,18.5,17.0,17.5,17.5,18.0,2.0,1.5,3.0,4.0,3.0,2.5,3.5,1.0,2.0
60,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,17.5,15.0,18.0,19.0,17.5,18.5,17.0,18.5,19.0,3.0,10.0,12.0,11.0,13.0,5.0,14.0,1.0,2.0
61,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,15.0,18.5,18.0,16.5,14.0,16.0,19.0,18.5,17.5,18.5,19.5,2.0,1.5,3.0,4.0,2.5,3.5,3.0,1.0,1.5
62,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,18.5,17.0,17.5,18.0,19.0,16.0,18.0,18.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,2.0,1.0,1.5
63,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,15.5,18.0,17.5,15.0,16.5,16.0,18.5,16.0,17.5,17.0,17.5,3.0,12.0,10.0,11.0,13.0,5.0,4.0,2.0,3.0
64,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,17.5,16.0,17.5,18.5,18.5,15.0,17.0,17.5,18.0,2.0,3.0,2.5,3.5,2.0,2.5,2.0,1.0,1.5
65,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,18.5,18.0,19.0,17.5,18.0,18.5,18.5,2.0,3.0,2.5,3.5,2.0,2.5,2.5,1.0,1.5
66,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,18.5,17.5,19.0,16.0,18.0,18.5,18.5,2.0,1.5,2.5,1.0,1.5,2.5,1.0,1.0,1.0
67,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,17.5,18.0,16.0,17.5,16.5,18.5,17.0,17.0,17.5,18.0,3.0,1.5,4.0,4.5,3.5,2.0,3.0,1.0,1.5
68,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,17.5,18.0,15.0,18.5,18.0,18.5,17.5,17.0,18.0,18.5,2.0,1.5,3.0,3.5,1.0,2.5,1.5,1.0,1.0
69,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,14.5,17.5,17.0,15.0,16.5,15.5,18.0,16.0,17.0,17.5,17.5,3.0,12.0,5.0,10.0,11.0,4.0,3.0,1.0,2.0
70,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,18.5,17.0,18.5,17.5,19.0,16.0,18.0,18.5,18.5,2.0,3.0,2.5,3.5,2.0,2.5,1.5,1.0,1.0
71,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.5,18.0,17.5,18.5,17.5,18.5,17.0,18.0,18.5,18.5,2.0,1.5,2.5,3.0,2.5,3.5,2.0,1.0,1.5
72,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,18.5,16.0,18.0,17.0,19.0,17.5,18.0,18.5,18.5,2.0,1.5,2.5,3.0,2.5,1.0,1.5,1.0,1.0
73,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.0,18.0,19.5,17.5,18.5,18.0,18.5,17.5,18.0,18.5,18.5,2.0,1.5,3.0,3.5,2.5,2.0,3.0,1.0,1.5
74,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,18.5,19.5,19.0,16.0,18.0,19.0,19.5,2.0,1.5,3.0,4.0,2.5,3.5,5.0,1.0,1.5
75,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,17.0,18.5,19.0,18.5,18.0,18.0,18.5,19.0,2.0,1.5,2.5,3.0,2.0,3.5,4.0,1.0,1.5
76,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,18.0,15.0,16.0,14.5,15.5,18.5,16.0,17.5,17.5,17.0,3.0,1.5,2.5,4.0,3.5,2.0,2.5,1.0,1.5
77,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,17.5,18.5,16.0,17.0,15.5,19.0,16.0,18.0,18.5,18.5,2.0,3.0,2.5,4.0,3.0,1.0,1.5,1.0,1.0
78,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,14.0,17.5,18.0,15.0,19.5,19.0,18.5,17.0,17.0,19.0,18.5,3.0,12.0,10.0,11.0,13.0,10.0,14.5,1.0,15.5
79,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,18.0,19.5,17.5,18.5,18.0,18.5,17.5,18.0,18.5,18.5,2.0,1.5,2.5,3.0,2.0,3.5,3.0,1.0,1.5
80,deepseek-ai/DeepSeek-R1-0528,18.5,16.0,15.5,17.5,18.0,16.5,18.5,17.0,18.0,17.5,17.0,18.5,18.0,3.0,1.5,4.0,4.5,3.5,2.0,5.0,1.0,2.5
81,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,17.0,16.0,17.5,18.5,19.0,17.0,18.0,18.5,18.5,2.0,1.5,2.5,3.0,2.0,3.5,2.5,1.0,1.5
82,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,19.0,17.5,18.5,17.0,19.5,17.5,18.0,18.5,19.0,2.0,1.5,2.5,3.0,2.0,3.5,2.5,1.0,1.5
83,deepseek-ai/DeepSeek-R1-0528,18.5,17.5,16.0,18.0,18.5,15.0,17.0,16.5,19.0,15.5,17.5,17.5,18.0,2.0,14.0,10.0,12.0,13.0,5.0,4.0,1.0,1.5
84,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,15.0,14.0,16.0,17.5,18.5,15.5,17.5,17.0,17.5,3.0,4.5,5.0,4.0,5.5,3.5,3.0,2.0,1.5
85,deepseek-ai/DeepSeek-R1-0528,18.5,17.0,16.5,17.5,16.0,15.0,16.5,17.5,18.0,15.5,16.0,17.0,17.5,3.0,4.5,5.0,4.0,5.5,2.0,3.5,2.5,1.5
86,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,18.5,17.5,16.0,15.0,19.0,19.5,18.0,17.5,17.0,18.5,18.5,3.0,12.0,10.0,14.0,13.0,5.0,10.0,2.0,3.0
87,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,19.0,17.5,18.5,17.0,19.5,16.0,18.0,18.5,19.0,2.0,1.5,3.0,4.0,2.5,3.5,2.0,1.0,1.5
88,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,16.5,18.5,17.5,16.0,17.0,18.5,19.0,17.5,17.0,18.0,18.5,2.0,1.5,3.0,4.0,2.5,3.5,3.0,1.0,2.0
89,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,18.5,18.0,17.5,16.0,17.5,18.0,18.5,17.0,17.5,18.0,18.5,2.0,3.0,2.5,3.5,2.0,4.0,3.0,1.0,2.5
90,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,18.5,17.5,17.5,17.0,18.5,16.0,18.0,18.5,18.5,2.0,1.5,3.0,3.5,2.5,3.0,2.0,1.0,1.5
91,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,17.5,15.0,18.5,17.5,18.5,16.0,17.0,18.0,18.5,2.0,1.5,3.0,4.0,3.0,2.5,3.5,1.0,1.5
92,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,16.5,18.0,18.5,16.0,18.5,19.0,18.5,17.5,17.5,18.0,18.5,3.0,12.0,10.0,10.5,11.0,5.0,10.0,1.0,2.0
93,deepseek-ai/DeepSeek-R1-0528,19.5,17.0,15.5,18.5,18.0,16.0,14.0,16.5,19.0,17.5,18.5,17.5,18.5,2.0,1.5,3.0,1.0,2.5,2.0,3.5,1.0,1.5
94,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,18.8,17.0,16.5,19.5,16.0,18.5,18.5,19.0,2.0,1.5,2.5,3.0,2.0,3.5,2.5,1.0,1.5
95,deepseek-ai/DeepSeek-R1-0528,19.5,18.0,17.5,18.5,19.0,16.0,18.5,18.0,19.5,18.5,18.0,18.5,19.0,2.0,1.5,3.0,3.5,2.5,2.0,1.0,1.5,1.0
96,zai-org/GLM-4.5,19.5,17.0,16.5,18.0,18.5,17.5,17.5,17.0,18.5,16.0,18.0,18.0,18.5,2.0,1.5,2.5,3.0,2.0,1.0,1.5,1.0,1.0
97,zai-org/GLM-4.5,19.5,18.0,17.5,18.5,19.0,17.0,18.5,19.5,18.5,17.5,18.0,18.5,19.0,2.0,1.5,3.0,3.5,2.5,2.0,2.5,1.0,1.5
98,zai-org/GLM-4.5,19.5,18.0,17.5,18.5,18.5,16.0,18.5,17.0,19.0,17.5,18.0,19.0,18.5,2.0,1.5,2.5,3.0,2.5,2.0,1.0,1.0,1.5
99,zai-org/GLM-4.5,18.5,17.0,16.5,17.5,18.0,16.0,17.5,17.0,18.5,16.5,17.0,18.0,18.5,2.0,1.5,3.0,3.5,2.5,2.0,3.0,1.0,1.5
100,zai-org/GLM-4.5,18.5,17.0,16.5,17.5,18.0,15.0,18.5,18.0,17.5,16.0,17.0,18.0,17.5,3.0,12.0,10.0,13.0,14.0,5.0,4.0,2.0,1.0
101,zai-org/GLM-4.5,18.5,16.0,14.5,17.5,18.0,15.0,15.5,13.0,18.5,16.5,17.0,16.0,17.5,3.0,12.0,10.0,11.0,13.5,5.0,4.0,2.0,2.5
102,zai-org/GLM-4.5,19.5,18.0,17.5,18.5,17.0,16.0,18.5,17.5,19.0,16.5,18.0,18.5,18.5,2.0,3.0,2.5,4.0,3.0,2.0,1.0,1.5,2.5
103,zai-org/GLM-4.5,19.5,17.0,16.5,18.0,18.5,17.5,17.5,16.0,18.5,17.0,18.0,18.0,18.5,2.0,3.0,2.5,3.5,2.0,4.0,3.0,1.0,1.5
104,zai-org/GLM-4.5,19.5,18.0,16.5,18.5,17.5,15.0,17.0,16.0,19.0,16.5,18.0,18.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,2.0,1.0,1.5
105,zai-org/GLM-4.5,19.5,17.0,16.5,18.5,18.0,17.5,18.5,17.5,18.5,17.0,18.0,18.5,18.0,2.0,1.5,3.0,3.5,2.5,2.0,5.0,1.0,2.5
106,zai-org/GLM-4.5,18.5,17.0,16.5,18.0,17.5,16.0,18.5,19.0,18.5,16.0,17.5,18.0,18.5,2.0,1.5,3.0,3.5,2.5,3.0,4.0,1.0,1.5
107,zai-org/GLM-4.5,18.5,17.0,16.0,17.5,18.0,15.0,17.5,16.5,18.5,17.0,17.0,17.5,18.0,3.0,12.0,10.0,13.0,14.0,5.0,4.0,2.0,3.0
108,zai-org/GLM-4.5,19.5,18.0,16.5,18.5,17.5,16.0,17.0,15.5,19.0,17.5,18.0,18.5,18.5,2.0,1.5,3.0,4.0,2.5,3.5,2.0,1.0,1.5
109,zai-org/GLM-4.5,19.5,18.0,16.5,17.5,18.5,16.0,18.5,17.0,19.0,17.5,18.0,18.5,18.5,3.0,4.5,2.0,4.0,3.5,2.5,2.0,1.0,1.5
